   Age ranges,Total,  a. Without children,  b. With children and adults,"c. With only
children",  d. Unknown household type
   a. Under 5,719,0,0,0,0
   b. 5 - 12,null,null,null,null,null
   c. 13 - 17,null,null,null,null,null
   d. 18 - 24,null,null,null,null,null
   e. 25 - 34,null,null,null,null,null
  f. 35 - 44,null,null,null,null,null
  g. 45 - 54,null,null,null,null,null
  h. 55-61,null,null,null,null,null
   i. 62+,null,null,null,null,null
   j. Client Doesn't Know/Client Refused,16,0,0,0,0
   k. Data Not Collected,null,null,null,null,null
   l. Total,719,0,0,0,0
