,Total,  Without children,  With children and adults,With only children,  Unknown household type
   a. Homeless situations,,,,,
"   a1. Emergency shelter, including ",306,0,0,0,0
   a2. Transitional housing for homeless ,23,0,0,0,0
   a3. Place not meant for habitation,199,0,0,0,0
   a4. Safe haven,null,null,null,null,null
   a5. Interim Housing,null,null,null,null,null
   az. Subtotal,0,0,0,0,0
  b. Institutional Settings,,,,,
    b1. Psychiatric hospital or other ,null,null,null,null,null
   b2. Substance abuse or detox center,1,0,0,0,0
   b3. Hospital or other residential non-,1,0,0,0,0
"   b4. Jail, prison, or juvenile detention",1,0,0,0,0
    b5. Foster care home or foster care ,null,null,null,null,null
   b6. Long-term care facility or nursing ,null,null,null,null,null
"   b7. Residential project or halfway house with no
homeless criteria",null,null,null,null,null
   bz. Subtotal,0,0,0,0,0
  c. Other Locations,,,,,
   c01. Permanent housing (other than RRH) for formerly ,99,0,0,0,0
"   c02. Owned by client, no ongoing ",null,null,null,null,null
"   c03. Owned by client, with ongoing ",null,null,null,null,null
"   c04. Rental by client, no ongoing housing ",null,null,null,null,null
"   c05. Rental by client, with VASH subsidy",null,null,null,null,null
   c06. Rental by client with GPD TIP subsidy,null,null,null,null,null
"   c07. Rental by client, with other housing ",null,null,null,null,null
"   c08. Hotel/Motel, paid by client",null,null,null,null,null
   c09. Staying or living in a friend’s ,1,0,0,0,0
   c10. Staying or living with family,1,0,0,0,0
   c11. Client Doesnt Know/Client Refused,1,0,0,0,0
  c12. Data Not Collected,1,0,0,0,0
   cz. Subtotal,0,0,0,0,0
   d. Total,720,0,0,0,0
