Number of Adults By Income Category,Number of Adults at Start,Number of Adults at Annual Assessment (Stayers),Number of Adults at Exit (Leavers)
"   a. Adults with Only Earned Income (i.e., ",0,0,0
   b. Adults with Only Other Income,24,21,6
   c. Adults with Both Earned and Other Income,0,0,0
   d. Adults with No Income,8,2,2
   e. Adults with Client Doesn't Know/Client Refused Income Information,0,0,0
   f. Adults with Missing Income ,0,0,0
   g. Number of adult stayers not yet required to have an annual assessment,0,0,0
   h. Number of adult stayers without required annual assessment,0,0,0
   i. Total adults,50,42,8
   j. 1 or more source of income,24,21,6
   k. Adults with Income Information at Start and Annual ,32,23,8
