,Total,  a. Without children,  b. With children and adults,c. With only children,  d. Unknown household type
  Permanent Destinations,,,,,
   Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   Owned by client, no ongoing housing ",0,0,0,0,0
"   Owned by client, with ongoing housing ",0,0,0,0,0
"    Rental by client, no ongoing housing ",2,0,2,2,2
"   Rental by client, with VASH housing ",0,0,0,0,0
"   Rental by client, with GPD TIP housing ",0,0,0,0,0
"   Rental by client, with other ongoing ",0,0,0,0,0
   Permanent housing (other than RRH) for ,0,0,0,0,0
"   Staying or living with family, ",2,0,2,2,2
"   Staying or living with friends, ",0,0,0,0,0
"   Rental by client, with RRH or ",0,0,4,4,4
   SubTotal,4,0,0,0,0
  Temporary Destinations,,,,,
"   Emergency shelter, including hotel or motel paid for with emergency shelter voucher",0,0,0,0,0
   Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
   Transitional housing for homeless persons (including homeless youth),0,0,0,0,0
"    Staying or living with family, temporary tenure (e.g. room, apartment or ",0,0,0,0,0
"    Staying or living with friends, ",1,0,1,1,1
"   Place not meant for habitation (e.g., a ",0,0,0,0,0
  Safe Haven,0,0,0,0,0
   Hotel or motel paid for without ,0,0,0,0,0
   Subtotal,1,0,1,1,1
  Institutional Settings,,,,,
   Foster care home or group foster care home,0,0,0,0,0
  Psychiatric hospital or other psychiatric facility,0,0,0,0,0
   Substance abuse treatment facility or detox center,0,0,0,0,0
   Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"   Jail, prison, or juvenile detention facility",1,0,1,1,1
   Long-term care facility or nursing ,0,0,0,0,0
   Subtotal,1,0,1,1,1
   Other Destinations,,,,,
  Residential project or halfway house with no homeless criteria,0,0,0,0,0
   Deceased,0,0,0,0,0
   Other,0,0,0,0,0
   Client Doesn’t Know/Client Refused,0,0,0,0,0
   Data Not Collected (no exit interview ,2,0,2,2,2
   Subtotal,2,0,2,2,2
   Total,8,0,8,8,8
   Total persons exiting to positive housing destinations,4,4,4,0,4
"   Total persons whose destinations excluded them from
the calculation",0,0,0,0,0
   Percentage,0,0,0,0,0
