,Total,  a. Without children,  b. With children and adults,c. With only children,  d. Unknown household type
  Permanent Destinations,,,,,
   Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   Owned by client, no ongoing housing ",0,0,0,0,0
"   Owned by client, with ongoing housing ",1,0,1,1,1
"   Rental by client, no ongoing housing ",5,0,5,5,5
"   Rental by client, with VASH housing ",0,0,0,0,0
"   Rental by client, with GPD TIP housing ",0,0,0,0,0
"   Rental by client, with other ongoing ",34,0,34,34,34
   Permanent housing (other than RRH) for ,2,0,2,2,2
"   Staying or living with family, ",7,1,7,7,7
"   Staying or living with friends, ",0,0,0,0,0
"   Rental by client, with RRH or ",0,0,49,49,49
   SubTotal,49,1,0,0,0
  Temporary Destinations,,,,,
"   Emergency shelter, including hotel or motel paid for
with emergency shelter voucher",1,0,1,1,1
   Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
"   Transitional housing for homeless persons (including
homeless youth)",1,0,1,1,1
"    Staying or living with family,temporary tenure",4,0,4,4,4
"    Staying or living with friends,",1,0,1,1,1
   Place not meant for human habitation,4,0,4,4,4
  Safe Haven,0,0,0,0,0
"   Hotel or motel, paid by client",0,0,0,0,0
   Subtotal,11,0,11,11,11
  Institutional Settings,,,,,
   Foster care home or group foster care home,0,0,0,0,0
  Psychiatric hospital or other psychiatric facility,0,0,0,0,0
   Substance abuse treatment facility or detox center,1,0,1,1,1
   Hospital or other residential non-psychiatric medical facility,1,0,1,1,1
"  Jail,prison or juvenile detention facility",17,0,17,17,17
  Long-term care facility or nursing ,3,0,3,3,3
   Subtotal,22,0,22,22,22
   Other Destinations,,,,,
  Residential project or halfway house with no homeless criteria,0,0,0,0,0
   Deceased,23,0,5,23,23
   Other,5,0,5,5,5
   Client Doesn’t Know/Client Refused,1,0,1,1,1
   Data Not Collected (no exit interview ,31,2,31,31,31
   Subtotal,60,2,60,60,60
   Total,142,3,142,142,142
   Total persons exiting to positive housing destinations,49,49,49,1,49
"   Total persons whose destinations excluded them from
the calculation",24,0,24,24,24
   Percentage,0,0,0,0,0
