,Total,  Without children,  With children and adults,"With only
children",  Unknown household type
   a. Permanent Destinations,,,,,
   a01. Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   a02. Owned by client, no ongoing ",0,0,0,0,0
"   a03. Owned by client, with ongoing ",0,0,0,0,0
"   a04. Rental by client, no ongoing ",0,0,0,0,0
"   a05. Rental by client, with VASH ",0,0,0,0,0
"   a06. Rental by client, with GPD TIP ",0,0,0,0,0
"  a07. Rental by client, with other ongoing ",0,0,0,0,0
   a08. Permanent housing (other than ,0,0,0,0,0
"   a09. Staying or living with family, permanent tenure",0,0,0,0,0
"   a10. Staying or living with friends, permanent tenure",0,0,0,0,0
"   a11. Rental by client, with RRH or equivalent subsidy",null,null,null,null,null
   az. Subtotal,0,0,0,0,0
   b. Temporary Destinations,,,,,
"   b1. Emergency shelter, including hotel or motel paid for with
emergency shelter voucher",0,0,0,0,0
   b2. Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
"  b3. Transitional housing for homeless persons (including homeless
",0,0,0,0,0
"   b4. Staying or living with family,temporary tenure",0,0,0,0,0
"   b5. Staying or living with friends,temporary tenure",0,0,0,0,0
  b6. Place not meant for human habitation,0,0,0,0,0
   b7. Safe Haven,0,0,0,0,0
   b8. Hotel or motel paid by client,0,0,0,0,0
   bz. Subtotal,0,0,0,0,0
   c. Institutional Settings,,,,,
  c1. Foster care home or group foster care ,0,0,0,0,0
  c2. Psychiatric hospital or other psychiatric facility,0,0,0,0,0
   c3. Substance abuse treatment facility or detox center,0,0,0,0,0
   c4. Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"  c5. Jail,prison or juvenile detention ",0,0,0,0,0
  c6. Long-term care facility or nursing ,0,0,0,0,0
   cz. Subtotal,0,0,0,0,0
   d. Other Destinations,,,,,
  d1. Residential project or halfway house with no homeless criteria,0,0,0,0,0
   d2. Deceased,0,0,0,0,0
   d3. Other,0,0,0,0,0
   d4. Client Doesn’t Know/Client Refused,0,0,0,0,0
   d5. Data Not Collected (no exit ,0,0,0,0,0
  dz. Total,0,0,0,0,0
   e. Total,0,0,0,0,0
  f1. Total persons exiting to positive housing destinations,0,0,0,0,0
"  f2. Total persons whose destinations excluded them from the
",0,0,0,0,0
   f3. Percentage,0,0,0,0,0
