,Income at Start,Income at Latest Annual Assessment for Stayers,Income at Exit for Leavers
  a. Earned income,0,0,2
  b. Unemployment insurance,1,0,0
  c. Supplemental Security Income (SSI),5,0,27
  d. Social Security Disability Insurance ,0,0,3
"  e. VA service-connected
Disability
Compensation",5,0,27
  f. VA Non-Service Connected Disability Pension,0,0,0
  g. Private Disability Insurance,0,0,0
  h. Worker’s Compensation,0,0,0
  i. Temporary Assistance for Needy ,0,0,0
  j. General Assistance (GA),10,0,18
  k. Retirement Income from Social Security,4,0,8
  l. Pension or retirement income ,0,0,0
  m. Child Support,0,0,0
  n. Alimony (Spousal Support),0,0,0
  o. Other Source,0,0,0
  p. Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit,0,0,185
