,Total,  Without children,  With children and adults,With only children,  Unknown household type
   a. Homeless situations,,,,,
"   a1. Emergency shelter, including hotel or motel paid for ",0,0,0,0,0
   a2. Transitional housing for homeless persons (including ,0,0,0,0,0
   a3. Place not meant for habitation,1,1,0,0,0
   a4. Safe haven,0,0,0,0,0
   a5. Interim housing,0,0,0,0,0
   az. Subtotal,1,1,0,0,0
   b. Institutional settings,,,,,
   b1. Psychiatric hospital or other ,0,0,0,0,0
   b2. Substance abuse treatment facility or ,0,0,0,0,0
   b3. Hospital or other residential non-,0,0,0,0,0
"   b4. Jail, prison or juvenile detention ",0,0,0,0,0
   b5. Foster care home or foster care ,0,0,0,0,0
   b6. Long-term care facility or nursing ,0,0,0,0,0
   b7.Residential project or halfway house with no homeless criteria,0,0,0,0,0
   bz. Subtotal,0,0,0,0,0
   c. Other locations,,,,,
   c01. Permanent housing (other than ,0,0,0,0,0
"   c02. Owned by client, no ongoing ",0,0,0,0,0
"   c03. Owned by client, with ongoing ",0,0,0,0,0
"   c04. Rental by client, no ongoing housing ",0,0,0,0,0
"   c05. Rental by client, with VASH subsidy",0,0,0,0,0
   c06. Rental by client with GPD TIP subsidy,0,0,0,0,0
"   c07. Rental by client, with other housing ",0,0,0,0,0
   c08. Hotel or motel paid for without ,0,0,0,0,0
   c09. Staying or living in a friend’s ,0,0,0,0,0
   c10. Staying or living in a family ,0,0,0,0,0
   c11. Client Doesn't Know/Client Refused,0,0,0,0,0
   c12. Data Not Collected,0,0,0,0,0
   cz. Subtotal,0,0,0,0,0
   d. Total,1,1,0,0,0
