  Destination,Total,  a. Without children,  b. With children and adults,"c. With only
children",  d. Unknown household type
   Permanent destinations,,,,,
   Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   Owned by client, no ongoing subsidy",0,0,0,0,0
"   Owned by client, with ongoing subsidy",0,0,0,0,0
"   Rental by client, no ongoing subsidy",0,0,0,0,0
"   Rental by client, with VASH subsidy",0,0,0,0,0
"   Rental by client, with GPD TIP subsidy",0,0,0,0,0
"   Rental by client, other ongoing subsidy",0,0,0,0,0
   PH for formerly homeless persons,0,0,0,0,0
"   Staying or living with family, ",0,0,0,0,0
"   Staying or living with friends, ",0,0,0,0,0
"   Rental by client, with RRH or ",null,null,null,null,null
   Subtotal,0,0,0,0,0
   Temporary destinations,,,,,
"  Emergency shelter,including hotel or motel paid for with
emergency shelter voucher",0,0,0,0,0
   Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
"   Transitional housing for homeless persons (including
homeless youth)",0,0,0,0,0
"   Staying or living with family,temporary
tenure",0,0,0,0,0
"   Staying or living with friends, temporary tenure",0,0,0,0,0
   Place not meant for human habitation,0,0,0,0,0
   Safe Haven,0,0,0,0,0
"   Hotel or motel, paid by client",0,0,0,0,0
   Subtotal,0,0,0,0,0
   Institutional settings,,,,,
   Foster care home or group foster care ,0,0,0,0,0
"   Psychiatric hospital or other psychiatric
facility",0,0,0,0,0
   Substance abuse treatment facility or detox center,0,0,0,0,0
"   Hospital or other residential non-psychiatric medical
facility",0,0,0,0,0
"   Jail,prison, or juvenile detention
 facility",0,0,0,0,0
   Long-term care facility or nursing ,0,0,0,0,0
   Subtotal,0,0,0,0,0
   Other destinations,,,,,
"   Residential project or halfway house with
 no homeless criteria",0,0,0,0,0
   Deceased,0,0,0,0,0
   Other,0,0,0,0,0
   Client Doesn’t Know/Client Refused,0,0,0,0,0
   Data Not Collected (no exit interview completed),0,0,0,0,0
   Subtotal,0,0,0,0,0
   Total,0,0,0,0,0
   Total persons exiting to positive housing destinations,0,0,0,0,0
"   Total persons whose destinations excluded them from
the calculation",0,0,0,0,0
   Percentage,0,0,0,0,0
