InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
01f549e5,61bdabec,XX-500,3,1,2,200,0,0,0,0,0,0,200,1,2010-01-01,,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
0745d1f0,d233090c,XX-500,1,,25,29,1,2,3,5,4,6,8,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
0d2be140,227f4557,XX-500,1,1,3,3,0,0,0,0,0,0,3,1,2010-01-01,,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
181187e0,cab04cc2,XX-500,1,,114,120,0,0,0,0,0,0,120,,2010-01-01,,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
24db082c,ebd57f64,XX-500,1,,25,25,0,0,0,0,0,0,25,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
39a9087f,47154162,XX-500,3,,32,35,0,0,0,0,0,0,35,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
482958f6,d233090c,XX-500,3,,5,5,0,0,0,0,0,0,5,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
5d5d1730,4888a5e1,XX-500,3,3,5,5,0,0,0,0,0,0,5,2,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
7f81ba9f,ff25088b,XX-500,1,1,2,55,0,0,0,0,0,0,55,1,2018-10-01,,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
96072030,47154162,XX-500,1,,15,15,0,0,0,0,0,0,15,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
beabea29,4888a5e1,XX-500,1,1,30,30,0,0,0,0,0,0,30,1,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
e88f6de0,ebd57f64,XX-500,3,,12,12,0,0,0,0,0,0,12,,2017-08-01,2025-08-01,2021-02-13 08:02:23,2021-02-13 08:02:23,,,93
