Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID
9,1,-1,1,45,-1,,1,93
423,1,-1,2,22,-1,,1,93
73,1,-1,1,3,-1,,1,93
423,1,-1,2,0,-1,,1,93
219,1,-1,1,0,-1,,1,93
391,1,-1,1,94,-1,,1,93
335,1,-1,1,1,5,,1,93
1028,1,-1,99,17,-1,,1,93
48,1,-1,0,0,9,,1,93
120,1,-1,1,68,-1,,1,93
17,1,-1,0,82,-1,,1,93
15,1,-1,1,0,3,,1,93
950,1,-1,3,12,-1,,1,93
287,1,-1,1,4,-1,,1,93
347,1,-1,1,74,-1,,1,93
440,1,-1,1,23,-1,,1,93
69,1,-1,1,3,5,,1,93
69,1,-1,0,3,5,,1,93
26,1,-1,0,88,-1,,1,93
28,1,-1,0,90,-1,,1,93
22,1,-1,0,89,-1,,1,93
17,1,-1,1,82,-1,,1,93
931,1,-1,1,47,-1,,1,93
496,1,-1,0,20,-1,,1,93
319,1,-1,0,5,-1,,1,93
42,1,-1,0,16,-1,,1,93
79,1,-1,1,7,-1,,1,93
44,1,-1,99,0,5,,1,93
82,1,-1,1,73,-1,,1,93
32,1,-1,1,0,7,,1,93
478,1,-1,1,77,-1,,1,93
81,1,-1,3,22,-1,,1,93
26,1,-1,1,95,-1,,1,93
36,1,-1,1,87,-1,,1,93
1003,1,-1,1,75,-1,,1,93
654,1,-1,1,6,-1,,1,93
539,1,-1,2,15,-1,,1,93
22,1,-1,1,89,-1,,1,93
96,1,-1,1,76,-1,,1,93
440,1,-1,0,23,-1,,1,93
15,1,-1,0,0,3,,1,93
42,1,-1,1,16,-1,,1,93
516,1,-1,3,0,-1,,1,93
954,1,-1,99,18,-1,,1,93
28,1,-1,0,81,-1,,1,93
76,1,-1,1,19,-1,,1,93
976,1,-1,99,22,-1,,1,93
79,1,-1,0,7,-1,,1,93
85,1,-1,1,4,7,,1,93
240,1,-1,1,96,-1,,1,93
31,1,-1,2,0,5,,1,93
9,1,-1,1,39,-1,,1,93
26,1,-1,1,93,-1,,1,93
950,1,-1,1,4,1,,1,93
13,1,-1,0,86,-1,,1,93
647,1,-1,0,6,-1,,1,93
223,1,-1,0,22,-1,,1,93
950,1,-1,1,69,-1,,1,93
210,1,-1,1,17,-1,,1,93
291,1,-1,1,83,-1,,1,93
498,1,-1,1,51,-1,,1,93
553,1,-1,2,0,1,,1,93
1118,1,-1,1,3,1,,1,93
13,1,-1,1,86,-1,,1,93
498,1,-1,1,46,-1,,1,93
17,1,-1,1,3,12,,1,93
28,1,-1,1,90,-1,,1,93
173,1,-1,0,15,-1,,1,93
931,1,-1,1,1,1,,1,93
537,1,-1,1,80,-1,,1,93
76,1,-1,0,19,-1,,1,93
324,1,-1,1,67,-1,,1,93
26,1,-1,0,93,-1,,1,93
17,1,-1,0,0,12,,1,93
26,1,-1,0,95,-1,,1,93
478,1,-1,1,20,-1,,1,93
966,1,-1,1,0,1,,1,93
9,1,-1,1,52,-1,,1,93
582,1,-1,2,6,-1,,1,93
686,1,-1,99,0,1,,1,93
122,1,-1,1,4,5,,1,93
291,1,-1,0,83,-1,,1,93
25,1,-1,1,3,7,,1,93
15,1,-1,1,3,3,,1,93
553,1,-1,2,12,-1,,1,93
17,1,-1,1,0,12,,1,93
323,1,-1,99,0,-1,,1,93
729,1,-1,1,12,-1,,1,93
688,1,-1,99,5,-1,,1,93
931,1,-1,1,41,-1,,1,93
82,1,-1,1,15,-1,,1,93
15,1,-1,1,4,9,,1,93
261,1,-1,0,0,-1,,1,93
25,1,-1,0,3,7,,1,93
307,1,-1,2,11,-1,,1,93
15,1,-1,1,0,9,,1,93
26,1,-1,1,88,-1,,1,93
81,1,-1,3,20,-1,,1,93
17,1,-1,0,3,12,,1,93
307,1,-1,2,17,-1,,1,93
143,1,-1,1,0,5,,1,93
28,1,-1,1,81,-1,,1,93
700,1,-1,0,12,-1,,1,93
492,1,-1,0,18,-1,,1,93
686,1,-1,99,12,-1,,1,93
400,1,-1,1,18,-1,,1,93
81,1,-1,3,10,-1,,1,93
92,1,-1,1,72,-1,,1,93
32,1,-1,0,0,7,,1,93
81,1,-1,3,5,-1,,1,93
790,1,-1,0,0,1,,1,93
950,1,-1,3,0,1,,1,93
110,1,-1,0,0,5,,1,93
946,1,-1,99,20,-1,,1,93
73,1,-1,0,3,-1,,1,93
233,1,-1,1,79,-1,,1,93
582,1,-1,2,5,-1,,1,93
391,1,-1,0,94,-1,,1,93
238,1,-1,0,17,-1,,1,93
242,1,-1,1,5,-1,,1,93
1118,1,-1,0,3,1,,1,93
36,1,-1,0,87,-1,,1,93
15,1,-1,0,3,3,,1,93
484,1,-1,1,1,-1,,1,93
85,1,-1,1,8,-1,,1,93
164,1,-1,1,22,-1,,1,93
81,1,-1,3,0,9,,1,93
106,1,-1,1,86,-1,,2,93
267,1,-1,1,19,-1,,2,93
52,1,-1,1,6,-1,,2,93
318,1,-1,1,5,-1,,2,93
164,1,-1,1,90,-1,,2,93
926,1,-1,1,3,3,,2,93
318,1,-1,0,5,-1,,2,93
223,1,-1,1,95,-1,,2,93
174,1,-1,0,93,-1,,2,93
248,1,-1,1,8,-1,,2,93
1033,1,-1,1,49,-1,,2,93
186,1,-1,0,18,-1,,2,93
267,1,-1,0,19,-1,,2,93
1032,1,-1,1,69,-1,,2,93
131,1,-1,0,3,6,,2,93
176,1,-1,1,3,-1,,2,93
225,1,-1,1,22,-1,,2,93
937,1,-1,99,12,-1,,2,93
52,1,-1,0,6,-1,,2,93
