Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID
90,1,10,1,0,-1,8157d99a,53,12345
4,1,10,2,0,-1,8157d99a,53,12345
93,1,10,0,0,-1,8157d99a,53,12345
2,1,10,1,0,-1,8196a117,53,12345
2,1,10,99,0,-1,8196a117,53,12345
4,1,10,0,0,-1,8196a117,53,12345
68,1,10,3,0,-1,864ef9c2,53,12345
60,1,10,99,0,-1,864ef9c2,53,12345
128,1,10,0,0,-1,864ef9c2,53,12345
17,1,10,1,0,-1,b65dbeda,53,12345
1,1,10,99,0,-1,b65dbeda,53,12345
18,1,10,0,0,-1,b65dbeda,53,12345
13,1,10,1,0,-1,cd2ba103,53,12345
1,1,10,3,0,-1,cd2ba103,53,12345
3,1,10,99,0,-1,cd2ba103,53,12345
17,1,10,0,0,-1,cd2ba103,53,12345
1,1,10,1,0,-1,d1f4db41,53,12345
93,1,10,2,0,-1,d1f4db41,53,12345
280,1,10,99,0,-1,d1f4db41,53,12345
373,1,10,0,0,-1,d1f4db41,53,12345
9,1,10,1,0,-1,dcf7ef05,53,12345
2,1,10,2,0,-1,dcf7ef05,53,12345
11,1,10,0,0,-1,dcf7ef05,53,12345
1,1,10,1,0,-1,fdf9dfc9,53,12345
85,1,10,2,0,-1,fdf9dfc9,53,12345
221,1,10,99,0,-1,fdf9dfc9,53,12345
307,1,10,0,0,-1,fdf9dfc9,53,12345
4,1,10,1,1,-1,8157d99a,53,12345
1,1,10,1,1,-1,b65dbeda,53,12345
2,1,10,1,1,-1,cd2ba103,53,12345
2,1,10,1,2,-1,8157d99a,53,12345
58,1,10,1,3,-1,8157d99a,53,12345
4,1,10,2,3,-1,8157d99a,53,12345
61,1,10,0,3,-1,8157d99a,53,12345
12,1,10,1,3,-1,b65dbeda,53,12345
12,1,10,0,3,-1,b65dbeda,53,12345
1,1,10,1,3,-1,cd2ba103,53,12345
1,1,10,0,3,-1,cd2ba103,53,12345
2,1,10,1,3,-1,dcf7ef05,53,12345
2,1,10,0,3,-1,dcf7ef05,53,12345
27,1,10,1,4,-1,8157d99a,53,12345
2,1,10,1,4,-1,8196a117,53,12345
4,1,10,1,4,-1,b65dbeda,53,12345
10,1,10,1,4,-1,cd2ba103,53,12345
1,1,10,1,4,-1,d1f4db41,53,12345
7,1,10,1,4,-1,dcf7ef05,53,12345
1,1,10,1,4,-1,fdf9dfc9,53,12345
31,1,10,1,5,-1,8157d99a,53,12345
31,1,10,0,5,-1,8157d99a,53,12345
2,1,10,1,5,-1,8196a117,53,12345
2,1,10,99,5,-1,8196a117,53,12345
4,1,10,0,5,-1,8196a117,53,12345
1,1,10,3,5,-1,864ef9c2,53,12345
1,1,10,0,5,-1,864ef9c2,53,12345
12,1,10,1,5,-1,b65dbeda,53,12345
12,1,10,0,5,-1,b65dbeda,53,12345
8,1,10,1,5,-1,cd2ba103,53,12345
2,1,10,99,5,-1,cd2ba103,53,12345
10,1,10,0,5,-1,cd2ba103,53,12345
14,1,10,2,5,-1,d1f4db41,53,12345
80,1,10,99,5,-1,d1f4db41,53,12345
94,1,10,0,5,-1,d1f4db41,53,12345
8,1,10,1,5,-1,dcf7ef05,53,12345
8,1,10,0,5,-1,dcf7ef05,53,12345
1,1,10,1,5,-1,fdf9dfc9,53,12345
11,1,10,2,5,-1,fdf9dfc9,53,12345
31,1,10,99,5,-1,fdf9dfc9,53,12345
43,1,10,0,5,-1,fdf9dfc9,53,12345
6,1,10,1,7,-1,8157d99a,53,12345
6,1,10,0,7,-1,8157d99a,53,12345
1,1,10,3,7,-1,864ef9c2,53,12345
1,1,10,99,7,-1,864ef9c2,53,12345
2,1,10,0,7,-1,864ef9c2,53,12345
2,1,10,1,7,-1,b65dbeda,53,12345
2,1,10,0,7,-1,b65dbeda,53,12345
1,1,10,1,7,-1,cd2ba103,53,12345
1,1,10,0,7,-1,cd2ba103,53,12345
1,1,10,99,7,-1,d1f4db41,53,12345
1,1,10,0,7,-1,d1f4db41,53,12345
2,1,10,1,7,-1,dcf7ef05,53,12345
2,1,10,0,7,-1,dcf7ef05,53,12345
5,1,10,99,7,-1,fdf9dfc9,53,12345
5,1,10,0,7,-1,fdf9dfc9,53,12345
30,1,10,1,8,-1,8157d99a,53,12345
1,1,10,1,8,-1,8196a117,53,12345
12,1,10,1,8,-1,b65dbeda,53,12345
2,1,10,1,8,-1,cd2ba103,53,12345
2,1,10,1,8,-1,dcf7ef05,53,12345
4,1,10,2,9,-1,8157d99a,53,12345
14,1,10,2,9,-1,d1f4db41,53,12345
6,1,10,2,9,-1,fdf9dfc9,53,12345
89,10,10,1,0,-1,8157d99a,53,12345
4,10,10,2,0,-1,8157d99a,53,12345
92,10,10,0,0,-1,8157d99a,53,12345
3,10,10,3,0,-1,864ef9c2,53,12345
2,10,10,99,0,-1,864ef9c2,53,12345
5,10,10,0,0,-1,864ef9c2,53,12345
17,10,10,1,0,-1,b65dbeda,53,12345
1,10,10,99,0,-1,b65dbeda,53,12345
18,10,10,0,0,-1,b65dbeda,53,12345
13,10,10,1,0,-1,cd2ba103,53,12345
1,10,10,3,0,-1,cd2ba103,53,12345
3,10,10,99,0,-1,cd2ba103,53,12345
17,10,10,0,0,-1,cd2ba103,53,12345
33,10,10,99,0,-1,d1f4db41,53,12345
33,10,10,0,0,-1,d1f4db41,53,12345
9,10,10,1,0,-1,dcf7ef05,53,12345
2,10,10,2,0,-1,dcf7ef05,53,12345
