RowTotal,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHType,HHVet,HHDisability,HHFleeingDV,HoHRace,HoHEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID
2,-2,1,2,1,-1,1,0,0,0,6,1,-1,0,0,-1,12345
2,-2,1,2,1,-1,1,0,1,0,6,0,-1,0,0,-1,12345
1,-2,1,2,1,-1,1,0,1,0,6,1,-1,0,0,-1,12345
4,-2,1,2,1,-1,2,0,0,0,6,0,-1,1,0,-1,12345
2,-2,1,2,1,-1,99,0,0,0,99,99,-1,0,0,-1,12345
18,-2,1,2,1,-1,99,0,0,0,99,99,-1,1,0,-1,12345
4,-2,1,2,1,-1,99,0,1,0,99,99,-1,1,0,-1,12345
5,-2,1,2,3,-1,1,0,0,0,6,0,-1,0,0,-1,12345
1,-2,1,2,3,-1,1,0,1,0,6,0,-1,0,0,-1,12345
1,-2,1,2,3,-1,1,0,1,0,6,1,-1,0,0,-1,12345
2,-2,1,2,3,-1,3,0,0,0,6,0,-1,0,0,-1,12345
1,-2,1,2,3,-1,99,0,0,0,99,99,-1,0,0,-1,12345
5,-2,1,2,3,-1,99,0,0,0,99,99,-1,1,0,-1,12345
1,-2,1,2,3,-1,99,0,1,0,99,99,-1,1,0,-1,12345
2,-2,1,2,4,-1,1,0,0,0,6,0,-1,0,0,-1,12345
1,-2,1,2,4,-1,1,1,0,1,6,98,-1,0,0,-1,12345
1,-2,1,2,4,-1,1,1,1,0,6,0,-1,0,0,-1,12345
3,-2,1,2,4,-1,99,0,0,0,99,99,-1,1,0,-1,12345
3,-2,1,2,4,-1,99,0,1,0,99,99,-1,1,0,-1,12345
1,-2,1,2,5,-1,1,0,0,1,6,0,-1,0,0,-1,12345
1,-2,1,2,5,-1,1,0,1,0,6,0,-1,0,0,-1,12345
1,-2,1,2,5,-1,2,0,0,0,6,0,-1,1,0,-1,12345
66,-2,1,2,5,-1,3,0,0,0,6,0,-1,0,0,-1,12345
1,-2,1,2,5,-1,3,0,0,1,6,0,-1,0,0,-1,12345
2,-2,1,2,5,-1,99,0,0,0,6,0,-1,1,0,-1,12345
60,-2,1,2,5,-1,99,0,0,0,99,99,-1,0,0,-1,12345
13,-2,1,2,5,-1,99,0,0,0,99,99,-1,1,0,-1,12345
2,-2,1,2,5,-1,99,0,1,0,99,99,-1,0,0,-1,12345
1,-2,1,2,5,-1,99,0,1,0,99,99,-1,1,0,-1,12345
1,-2,1,2,6,-1,1,0,1,0,6,0,-1,0,0,-1,12345
7,-2,1,2,6,-1,3,0,0,0,6,0,-1,0,0,-1,12345
6,-2,1,2,6,-1,99,0,0,0,99,99,-1,0,0,-1,12345
1,-2,1,2,6,-1,99,0,0,0,99,99,-1,1,0,-1,12345
1,-2,1,2,6,-1,99,0,1,0,99,99,-1,1,0,-1,12345
1,-2,1,2,7,-1,1,0,0,0,6,0,-1,0,0,-1,12345
54,-2,1,2,7,-1,3,0,0,0,6,0,-1,0,0,-1,12345
4,-2,1,2,7,-1,3,0,0,0,6,1,-1,0,0,-1,12345
