RowTotal,Gender,Race,Ethnicity,VetStatus,DisabilityStatus,CHTime,CHTimeStatus,DVStatus,ESTAgeMin,ESTAgeMax,HHTypeEST,HoHEST,AdultEST,HHChronicEST,HHVetEST,HHDisabilityEST,HHFleeingDVEST,HHAdultAgeAOEST,HHAdultAgeACEST,HHParentEST,AC3PlusEST,AHAREST,AHARHoHEST,RRHAgeMin,RRHAgeMax,HHTypeRRH,HoHRRH,AdultRRH,HHChronicRRH,HHVetRRH,HHDisabilityRRH,HHFleeingDVRRH,HHAdultAgeAORRH,HHAdultAgeACRRH,HHParentRRH,AC3PlusRRH,AHARRRH,AHARHoHRRH,PSHAgeMin,PSHAgeMax,HHTypePSH,HoHPSH,AdultPSH,HHChronicPSH,HHVetPSH,HHDisabilityPSH,HHFleeingDVPSH,HHAdultAgeAOPSH,HHAdultAgeACPSH,HHParentPSH,AC3PlusPSH,AHARPSH,AHARHoHPSH,ReportID
471,1,6,0,0,0,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,-1,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
27,1,6,0,0,0,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,-1,9,-1,-1,-1,-1,-1,-1,9,0,9,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
45,1,6,0,0,0,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,9,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
35,1,6,0,0,0,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,9,9,-1,-1,-1,-1,-1,-1,9,0,9,9,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
59,1,6,0,0,1,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,-1,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
2,1,6,0,0,1,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,-1,9,-1,-1,-1,-1,-1,-1,9,0,9,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
11,1,6,0,0,1,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,9,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
10,1,6,0,0,1,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,9,9,-1,-1,-1,-1,-1,-1,9,0,9,9,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
6,1,6,0,0,99,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,-1,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
5,1,6,0,0,99,0,-1,3,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,64,64,9,9,-1,-1,-1,-1,-1,-1,-1,9,0,-1,-1,64,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,12345
