Living arrangement on the night before program entry,Total,  Without children,  With children and adults,With only children,  Unknown household type
   a. Homeless situations,,,,,
   Emergency shelter,0,0,0,0,0
   Transitional housing for homeless persons,0,0,0,0,0
   Place not meant for human habitation,0,0,0,0,0
   Safe haven,0,0,0,0,0
   Interim Housing,null,null,null,null,null
   Total,0,0,0,0,0
  b. Institutional Settings,,,,,
    Psychiatric facility,0,0,0,0,0
   Substance abuse or detox center,0,0,0,0,0
   Hospital (non-psychiatric),0,0,0,0,0
"   Jail, prison, or juvenile detention",0,0,0,0,0
    Foster care home or foster care group home,0,0,0,0,0
   Long-term care facility or nursing home,0,0,0,0,0
"   Residential project or halfway house with no
homeless criteria",0,0,0,0,0
   Total,0,0,0,0,0
  c. Other Locations,,,,,
   PH for formerly homeless persons,0,0,0,0,0
"   Owned by client, no subsidy",0,0,0,0,0
"   Owned by client, with subsidy",0,0,0,0,0
"   Rental by client, no subsidy",0,0,0,0,0
"   Rental by client, with VASH subsidy",0,0,0,0,0
   Rental by client with GPD TIP subsidy,0,0,0,0,0
   Rental by client with other subsidy,0,0,0,0,0
"   Hotel/Motel, paid by client",0,0,0,0,0
   Staying or living with friend(s),0,0,0,0,0
   Staying or living with family,0,0,0,0,0
   Client Doesn’t Know/Client Refused,0,0,0,0,0
  Data Not Collected,0,0,0,0,0
   Total,0,0,0,0,0
   Total,0,0,0,0,0
