,Total,  a. Without children,  b. With children and adults,c. With only children,  d. Unknown household type
  a. Permanent Destinations,,,,,
   a01. Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   a02. Owned by client, no ongoing subsidy",0,0,0,0,0
"   a03. Owned by client, with ongoing subsidy",0,0,0,0,0
"    a04. Rental by client, no ongoing subsidy",0,0,0,0,0
"   a05. Rental by client, with VASH subsidy",0,0,0,0,0
"   a06. Rental by client, with GPD TIP subsidy",0,0,0,0,0
"   a07. Rental by client, other ongoing subsidy",0,0,0,0,0
   a08. PH for formerly homeless persons,0,0,0,0,0
"   a09. Staying or living with family, permanent ",0,0,0,0,0
"   a10. Staying or living with friends, permanent ",0,0,0,0,0
   az. Total,0,0,0,0,0
  b.Temporary Destinations,,,,,
"   b01. Emergency shelter, including hotel or motel paid for
with emergency shelter voucher",0,0,0,0,0
   b02. Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
"   b03. Transitional housing for homeless persons (including
homeless youth)",0,0,0,0,0
"    b04. Staying or living with family,temporary tenure",0,0,0,0,0
"    b05. Staying or living with friends,temporary ",0,0,0,0,0
   b06. Place not meant for human habitation,0,0,0,0,0
  b07. Safe Haven,0,0,0,0,0
"   b08. Hotel or motel, paid by client",0,0,0,0,0
   bz. Total,0,0,0,0,0
  c. Institutional Settings,,,,,
   c01. Foster care home or group foster care home,0,0,0,0,0
  c02. Psychiatric hospital or other psychiatric facility,0,0,0,0,0
   c03. Substance abuse treatment facility or detox center,0,0,0,0,0
   c04. Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"  c05. Jail,prison or juvenile detention facility",0,0,0,0,0
  c06. Long-term care facility or nursing home,0,0,0,0,0
   cz. Total,0,0,0,0,0
   d. Other Destinations,,,,,
  d01. Residential project or halfway house with no homeless criteria,0,0,0,0,0
   d02. Deceased,0,0,0,0,0
   d03. Other,0,0,0,0,0
   d04. Client Doesn’t Know/Client Refused,0,0,0,0,0
   d05. Data Not Collected (no exit ,0,0,0,0,0
   dz. Total,0,0,0,0,0
   e. Total,0,0,0,0,0
