   Destination,Total,  a. Without children,  b. With children and adults,c. With only children,  d. Unknown household type
   a. Permanent destinations,,,,,
   a01. Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"   a02. Owned by client, no ongoing subsidy",0,0,0,0,0
"   a03. Owned by client, with ongoing subsidy",0,0,0,0,0
"   a04. Rental by client, no ongoing subsidy",0,0,0,0,0
"   a05. Rental by client, VASH subsidy",0,0,0,0,0
"   a06. Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"   a07. Rental by client, other ongoing subsidy",0,0,0,0,0
   a08. Permanent housing for homeless persons,0,0,0,0,0
"   a09. Staying or living with family, permanent tenure",0,0,0,0,0
"   a10. Staying or living with friends, permanent tenure",0,0,0,0,0
   az. Total,0,0,0,0,0
   b. Temporary destinations,,,,,
   b1. Emergency shelter,0,0,0,0,0
   b2. Moved from one HOPWA funded project ,0,0,0,0,0
   b3. Transitional housing for homeless ,0,0,0,0,0
"   b4. Staying with family, temporary tenure",0,0,0,0,0
"   b5. Staying with friends, temporary",0,0,0,0,0
   b6. Place not meant for human habitation,0,0,0,0,0
   b7. Safe Haven,0,0,0,0,0
   b8. Hotel or motel paid by client,0,0,0,0,0
   bz. Total,0,0,0,0,0
   c. Institutional settings,,,,,
   c1. Foster care home or group foster care ,0,0,0,0,0
   c2. Psychiatric hospital or other ,0,0,0,0,0
   c3. Substance abuse treatment facility or ,0,0,0,0,0
   c4. Hospital or other residential non-,0,0,0,0,0
"   c5. Jail, prison or juvenile detention ",0,0,0,0,0
   c6. Long term care facility or nursing home,0,0,0,0,0
   cz. Total,0,0,0,0,0
   d. Other destinations,,,,,
   d1. Residential project or halfway house with ,0,0,0,0,0
   d2. Deceased,0,0,0,0,0
   d3. Other,0,0,0,0,0
   d4. Don't know / refused,0,0,0,0,0
   d5. Information missing,0,0,0,0,0
   dz. Total,0,0,0,0,0
   e. Total,0,0,0,0,0
