Living arrangement on the night before program entry,Total,  Without children,  With children and adults,With only children,  Unknown household type
   a. Homeless situations,,,,,
"   a1. Emergency
shelter",0,0,0,0,0
   a2. Transitional housing for homeless persons,0,0,0,0,0
   a3. Place not meant for human habitation,0,0,0,0,0
   a4. Safe haven,0,0,0,0,0
   a5. Interim housing,0,0,0,0,0
   az. Total,0,0,0,0,0
   b. Institutional settings,,,,,
   b1. Psychiatric facility,0,0,0,0,0
   b2. Substance abuse or detox center,0,0,0,0,0
   b3. Hospital (non-psychiatric),0,0,0,0,0
"   b4. Jail, prison or juvenile detention",0,0,0,0,0
   b5. Foster care home or foster care group ,0,0,0,0,0
   b6. Long-term care facility or nursing home,0,0,0,0,0
   b7.Residential project or halfway house with no homeless criteria,0,0,0,0,0
   bz. Total,0,0,0,0,0
   c. Other locations,,,,,
   c01. PH for homeless persons,0,0,0,0,0
"   c02. Owned by client, no subsidy",0,0,0,0,0
"   c03. Owned by client, with subsidy",0,0,0,0,0
"   c04. Rental by client, no subsidy",0,0,0,0,0
"   c05. Rental by client, with VASH subsidy",0,0,0,0,0
   c06. Rental by client with GPD TIP subsidy,0,0,0,0,0
"   c07. Rental by client, with other subsidy",0,0,0,0,0
   c08. Hotel or motel paid by client,0,0,0,0,0
   c09. Staying or living with friend(s),0,0,0,0,0
   c10. Staying or living with family,0,0,0,0,0
   c11. Client Doesn’t Know/Client Refused,0,0,0,0,0
   c12. Data Not Collected,0,0,0,0,0
   cz. Total,0,0,0,0,0
   d. Total,0,0,0,0,0
