  1. Total number of persons served,9
  2. Number of adults (age 18 or over),9
  3. Number of children (under age 18),0
  4. Number of persons with unknown age,0
 5. Number of leavers,0
  6. Number of adult leavers,0
  7. Number of adult and head of household leavers,0
  8. Number of stayers,9
  9. Number of adult stayers,9
  10. Number of veterans,1
  11. Number of chronically homeless persons,0
  12. Number of youth under age 25,0
  13. Number of parenting youth under age 25 with ,0
  14. Number of adult heads of household,9
  15. Number of child and unknown-age Heads of ,0
  16. Heads of households and adult stayers in the project 365 days or more,0
